,test_acc
MUTAG,0.8421052631578947
BZR,0.7804878048780488
COX2,0.7872340425531915
DHFR,0.6578947368421053
PTC_MR,0.5714285714285714
AIDS,0.995
NCI1,0.7299270072992701
