,test_acc
0-PROTEINS,0.8181818181818182
1-PROTEINS,0.5833333333333334
2-PROTEINS,0.9090909090909091
3-PROTEINS,0.7692307692307693
4-PROTEINS,0.7272727272727273
5-PROTEINS,0.9166666666666666
6-PROTEINS,0.8181818181818182
7-PROTEINS,0.6923076923076923
8-PROTEINS,0.5454545454545454
9-PROTEINS,0.7272727272727273
