,train_acc,val_acc,test_acc
0-PROTEINS,0.6781609195402298,0.8181818181818182,0.7272727272727273
1-PROTEINS,0.7362637362637363,0.6363636363636364,0.5833333333333334
2-PROTEINS,0.7625,0.7,0.8181818181818182
3-PROTEINS,0.673469387755102,0.8333333333333334,0.7692307692307693
4-PROTEINS,0.7176470588235294,0.7272727272727273,0.8181818181818182
5-PROTEINS,0.7386363636363636,0.8181818181818182,0.8333333333333334
6-PROTEINS,0.6941176470588235,0.6363636363636364,0.7272727272727273
7-PROTEINS,0.6666666666666666,0.6153846153846154,0.6153846153846154
8-PROTEINS,0.7560975609756098,0.6,0.5454545454545454
9-PROTEINS,0.6590909090909091,0.5454545454545454,0.6363636363636364
